"TimeFrame_Name","TimeFrame_Value","Depth","n","ndays","mean","median","min","max","range","sd","var","cv","q01","q05","q10","q25","q50","q75","q90","q95","q99","n_below_2"
"Month","01",1,62,62,1.57121572580645,1.45004166666667,1.11025,2.78791666666667,1.67766666666667,0.40021967744795,0.160175790216541,0.254719750365616,1.1198575,1.1650375,1.1856,1.33246875,1.45004166666667,1.5120625,2.24855,2.3224625,2.5612,49
"Month","01",2,62,62,3.32015053763441,3.25575,2.503,4.16125,1.65825,0.719050974180309,0.517034303469652,0.216571798787361,2.503,2.51273125,2.5377625,2.61253125,3.25575,4.02697916666667,4.12695833333333,4.13811458333333,4.15588708333333,0
"Month","01",3,62,62,3.71686962365591,3.8721875,2.95166666666667,4.27741666666667,1.32575,0.514230737780494,0.264433251678271,0.138350491098124,2.95431,2.99562083333333,3.033075,3.19475,3.8721875,4.24166666666667,4.26950833333333,4.272,4.276095,0
"Month","01",4,62,62,4.0770127688172,4.16172916666667,3.43408333333333,4.33808333333333,0.904,0.265972614726443,0.0707414317844211,0.0652371306660405,3.43937,3.52088125,3.6034,3.98610416666667,4.16172916666667,4.2728125,4.29171666666667,4.30330833333333,4.33279666666667,0
"Month","01",5,62,62,4.30000403225806,4.312625,4.12391666666667,4.4345,0.310583333333333,0.0727757509201996,0.00529630992199893,0.0169245773664967,4.129915,4.14509375,4.17518333333333,4.26875,4.312625,4.34404166666667,4.37838333333333,4.39181666666667,4.4245875,0
"Month","01",6,62,62,4.37123588709677,4.37708333333333,4.17091666666667,4.49191666666667,0.321,0.0703359704072211,0.00494714873312548,0.016090637115888,4.19732458333333,4.25033333333333,4.29366666666667,4.324,4.37708333333333,4.42339583333333,4.46039166666667,4.47214583333333,4.48729083333333,0
"Month","01",7,62,62,4.38299126344086,4.43883333333333,4.08691666666667,4.57858333333333,0.491666666666666,0.145794713687515,0.0212560985392245,0.0332637472731486,4.0921525,4.11510833333333,4.13454583333333,4.26333333333333,4.43883333333333,4.50383333333333,4.52539166666667,4.5318375,4.57660083333333,0
"Month","01",8,62,62,4.56565322580645,4.588875,4.36625,4.66958333333333,0.303333333333334,0.0799902860016955,0.00639844585463305,0.0175200090864471,4.3721975,4.3797375,4.45800833333333,4.52766666666667,4.588875,4.62679166666667,4.64954166666667,4.66059166666667,4.6649575,0
"Month","01",9,62,62,4.50931989247312,4.52766666666667,4.272,4.636,0.364,0.08677778604883,0.00753038415153652,0.0192440962535566,4.28786,4.32941666666667,4.40785,4.46402083333333,4.52766666666667,4.5653125,4.61,4.61,4.63533916666667,0
"Month","01",10,62,62,4.64209811827957,4.67554166666667,4.48,4.72591666666667,0.245916666666666,0.0695909881333072,0.0048429056293701,0.0149912790208533,4.48132166666667,4.49847083333333,4.50870833333333,4.62245833333333,4.67554166666667,4.688,4.69948333333333,4.714,4.71996916666667,0
"Month","02",1,57,57,1.37354459064327,1.335,1.099,1.70375,0.60475,0.154182764575329,0.0237723248920913,0.112251735856002,1.099,1.099,1.2301,1.2735,1.335,1.498,1.572925,1.63751666666667,1.70312,57
"Month","02",2,57,57,3.50274415204678,3.9355,2.717,4.01729166666667,1.30029166666667,0.51303505681507,0.263204969521242,0.146466608620354,2.717,2.7413,2.80491666666667,3.021375,3.9355,3.98491666666667,3.99580833333333,4.00555,4.01316166666667,0
"Month","02",3,57,57,4.1196432748538,4.10416666666667,3.669875,4.37275,0.702875,0.179572259978169,0.0322461965536671,0.043589274118532,3.68207833333333,3.72698333333333,3.86876666666667,4.07166666666667,4.10416666666667,4.23729166666667,4.34891666666667,4.35476666666667,4.36971666666667,0
"Month","02",4,57,57,4.34146637426901,4.35433333333333,4.21566666666667,4.39225,0.176583333333334,0.0424079736029841,0.0017984362251114,0.00976812209218701,4.22294666666667,4.25575,4.27525,4.32508333333333,4.35433333333333,4.37275,4.38163333333333,4.3851,4.39043,0
"Month","02",5,57,57,4.37434649122807,4.376,4.30558333333333,4.40416666666667,0.0985833333333339,0.0211479094657194,0.000447234074770264,0.0048345300282288,4.31286333333333,4.3292,4.35086666666667,4.3695,4.376,4.38683333333333,4.39875,4.402,4.40416666666667,0
"Month","02",6,57,57,4.39228362573099,4.39766666666667,4.22975,4.50383333333333,0.274083333333333,0.0526527389134844,0.00277231091509155,0.0119875544022323,4.23752,4.28825,4.31403333333333,4.37816666666667,4.39766666666667,4.42366666666667,4.44425,4.46223333333333,4.48927333333333,0
"Month","02",7,57,57,4.46675292397661,4.47783333333333,4.37275,4.532,0.15925,0.0422356213349782,0.00178384770955166,0.00945555352038078,4.37457,4.38748333333333,4.39593333333333,4.44533333333333,4.47783333333333,4.49191666666667,4.5177,4.53026666666667,4.532,0
"Month","02",8,57,57,4.61049415204678,4.61541666666667,4.467,4.73675,0.269750000000001,0.0657268858740371,0.0043200235266987,0.0142559308626079,4.47246,4.50578333333333,4.52766666666667,4.558,4.61541666666667,4.636,4.70901666666667,4.71595,4.73311,0
"Month","02",9,57,57,4.51996929824561,4.56233333333333,4.29041666666667,4.64141666666667,0.350999999999999,0.110916405753936,0.0123024490653718,0.0245391945022696,4.29102333333333,4.32205,4.33851666666667,4.43125,4.56233333333333,4.61108333333333,4.636,4.63665,4.64081,0
"Month","02",10,57,57,4.65120467836257,4.65116666666667,4.51683333333333,4.81475,0.297916666666667,0.0720751028713284,0.00519482045391257,0.0154960075626476,4.51744,4.52766666666667,4.53676666666667,4.62408333333333,4.65116666666667,4.7075,4.73458333333333,4.74498333333333,4.80079666666667,0
"Month","03",1,62,62,1.91094287634409,1.52502083333333,1.1305,4.88775,3.75725,0.97389716305771,0.948475684211855,0.509642216475313,1.14353875,1.18050625,1.21115,1.26228125,1.52502083333333,2.040125,3.44235416666667,4.29494583333333,4.80659458333333,46
"Month","03",2,62,62,3.91722580645161,3.97758333333333,3.31616666666667,4.545,1.22883333333333,0.327126562051328,0.107011787599521,0.083509753640588,3.33169625,3.38250208333333,3.441775,3.67627083333333,3.97758333333333,4.1746875,4.292475,4.40877083333333,4.501385,0
"Month","03",3,62,62,4.31722916666667,4.34945833333333,4.10416666666667,4.39441666666667,0.290249999999999,0.0775971795640654,0.00602132227629781,0.0179738384432296,4.11542625,4.14482291666667,4.16608333333333,4.29989583333333,4.34945833333333,4.37004166666667,4.376,4.37816666666667,4.38913,0
"Month","03",4,62,62,4.35164247311828,4.37166666666667,4.17125,4.44858333333333,0.277333333333333,0.0622552464250574,0.00387571570744462,0.0143061491861134,4.1771975,4.20109583333333,4.25000833333333,4.35189583333333,4.37166666666667,4.37789583333333,4.399725,4.42204166666667,4.4439575,0
