"Date","Depth","temp_F","DO_conc"
2018-07-18,9,51.7304166666667,0.859166666666667
2018-07-19,3,72.4195833333333,6.66708333333333
2018-07-19,4,70.21125,5.60944444444444
2018-07-19,5,68.0029166666667,4.55180555555556
2018-07-19,6,65.7945833333333,3.49416666666667
2018-07-19,7,61.0654166666667,2.57527777777778
2018-07-19,8,56.33625,1.65638888888889
2018-07-19,9,51.6070833333333,0.7375
2018-07-20,3,73.4016666666667,6.99541666666667
2018-07-20,4,70.3111111111111,5.62027777777778
2018-07-20,5,67.2205555555555,4.24513888888889
2018-07-20,6,64.13,2.87
2018-07-20,7,60.0622222222222,2.13513888888889
2018-07-20,8,55.9944444444444,1.40027777777778
2018-07-20,9,51.9266666666667,0.665416666666667
2018-07-21,3,73.46125,7.01375
2018-07-21,4,70.7018055555556,5.68986111111111
