"Date","Depth","Measurement"
2017-02-08,17,1.913
2017-02-08,18,1.967
2017-02-08,19,2.00753125
2017-02-08,20,2.03459375
2017-02-08,21,2.02109375
2017-02-08,22,1.96703125
2017-02-08,23,2.02865625
2017-02-08,24,2.20596875
2017-02-08,25,2.32671875
2017-02-08,26,2.39090625
2017-02-08,27,2.51004166666667
2017-02-08,28,2.684125
2017-02-09,2,0.934708333333333
2017-02-09,3,1.18
2017-02-09,4,1.2075
2017-02-09,5,1.25975
2017-02-09,6,1.3170625
2017-02-09,7,1.3873125
2017-02-09,8,1.4744375
2017-02-09,9,1.56325
2017-02-09,10,1.6228125
2017-02-09,11,1.6570625
2017-02-09,12,1.749875
2017-02-09,13,1.84690625
2017-02-09,14,1.88346875
2017-02-09,15,1.90034375
2017-02-09,16,1.89753125
2017-02-09,17,1.92115625
2017-02-09,18,1.97121875
2017-02-09,19,2.0089375
2017-02-09,20,2.0343125
2017-02-09,21,2.02025
2017-02-09,22,1.96675
2017-02-09,23,2.03371875
2017-02-09,24,2.22115625
2017-02-09,25,2.34190625
2017-02-09,26,2.39596875
2017-02-09,27,2.5125625
2017-02-09,28,2.6916875
2017-02-10,2,0.935270833333333
2017-02-10,3,1.18
2017-02-10,4,1.2075
2017-02-10,5,1.260875
2017-02-10,6,1.3255
2017-02-10,7,1.401625
2017-02-10,8,1.4865
2017-02-10,9,1.5745
2017-02-10,10,1.63125
2017-02-10,11,1.666625
2017-02-10,12,1.758875
2017-02-10,13,1.85225
2017-02-10,14,1.89275
2017-02-10,15,1.907375
2017-02-10,16,1.896125
2017-02-10,17,1.91721875
2017-02-10,18,1.97065625
2017-02-10,19,2.010625
2017-02-10,20,2.037125
2017-02-10,21,2.02334375
2017-02-10,22,1.96928125
2017-02-10,23,2.0356875
2017-02-10,24,2.2225625
2017-02-10,25,2.34303125
2017-02-10,26,2.39709375
2017-02-10,27,2.51678125
2017-02-10,28,2.70209375
2017-02-11,2,0.9318125
2017-02-11,3,1.18
2017-02-11,4,1.2091875
2017-02-11,5,1.2636875
2017-02-11,6,1.3283125
2017-02-11,7,1.4103125
2017-02-11,8,1.4935
2017-02-11,9,1.5745
2017-02-11,10,1.639125
2017-02-11,11,1.680125
2017-02-11,12,1.7645
2017-02-11,13,1.85225
2017-02-11,14,1.89275
2017-02-11,15,1.913
2017-02-11,16,1.913
2017-02-11,17,1.93325
2017-02-11,18,1.97375
2017-02-11,19,2.0100625
2017-02-11,20,2.0421875
2017-02-11,21,2.03459375
2017-02-11,22,1.98728125
2017-02-11,23,2.05340625
2017-02-11,24,2.23296875
2017-02-11,25,2.35428125
2017-02-11,26,2.41734375
2017-02-11,27,2.53590625
2017-02-11,28,2.70996875
2017-02-12,2,0.9273125
2017-02-12,3,1.18233333333333
2017-02-12,4,1.22220833333333
2017-02-12,5,1.27495833333333
2017-02-12,6,1.33339583333333
2017-02-12,7,1.4148125
2017-02-12,8,1.4951875
2017-02-12,9,1.5761875
2017-02-12,10,1.6419375
2017-02-12,11,1.6829375
2017-02-12,12,1.7645
2017-02-12,13,1.85225
2017-02-12,14,1.89275
2017-02-12,15,1.913
2017-02-12,16,1.913
2017-02-12,17,1.93325
2017-02-12,18,1.97375
2017-02-12,19,2.0134375
2017-02-12,20,2.0523125
2017-02-12,21,2.0466875
2017-02-12,22,1.9965625
2017-02-12,23,2.06325
2017-02-12,24,2.24675
2017-02-12,25,2.366375
2017-02-12,26,2.422125
2017-02-12,27,2.5345
2017-02-12,28,2.7035
2017-02-13,2,0.9106875
2017-02-13,3,1.18583333333333
2017-02-13,4,1.22683333333333
2017-02-13,5,1.27666666666667
2017-02-13,6,1.34466666666667
2017-02-13,7,1.4255
2017-02-13,8,1.5064375
2017-02-13,9,1.59035416666667
2017-02-13,10,1.64541666666667
2017-02-13,11,1.69475
2017-02-13,12,1.781375
2017-02-13,13,1.864625
2017-02-13,14,1.907375
2017-02-13,15,1.9248125
2017-02-13,16,1.9169375
2017-02-13,17,1.93578125
2017-02-13,18,1.98134375
2017-02-13,19,2.02159375
2017-02-13,20,2.05653125
2017-02-13,21,2.05371875
2017-02-13,22,2.01315625
2017-02-13,23,2.08040625
2017-02-13,24,2.25546875
2017-02-13,25,2.370875
2017-02-13,26,2.426625
2017-02-13,27,2.54638541666667
2017-02-13,28,2.73015625
2017-02-14,2,0.9031875
2017-02-14,3,1.194
2017-02-14,4,1.23725
2017-02-14,5,1.28708333333333
2017-02-14,6,1.35283333333333
2017-02-14,7,1.4294375
2017-02-14,8,1.5109375
2017-02-14,9,1.602
2017-02-14,10,1.6570625
2017-02-14,11,1.6975625
2017-02-14,12,1.7909375
2017-02-14,13,1.878125
2017-02-14,14,1.918625
2017-02-14,15,1.9338125
2017-02-14,16,1.9236875
2017-02-14,17,1.943375
2017-02-14,18,1.992875
2017-02-14,19,2.03171875
2017-02-14,20,2.05990625
2017-02-14,21,2.054
2017-02-14,22,2.014
2017-02-14,23,2.08125
2017-02-14,24,2.25575
2017-02-14,25,2.3748125
2017-02-14,26,2.4384375
2017-02-14,27,2.56040625
2017-02-14,28,2.74071875
2017-02-15,2,0.895854166666667
2017-02-15,3,1.19341666666667
2017-02-15,4,1.24735416666667
2017-02-15,5,1.3024375
2017-02-15,6,1.3575
2017-02-15,7,1.4345
2017-02-15,8,1.5165625
2017-02-15,9,1.6025625
2017-02-15,10,1.657625
2017-02-15,11,1.698125
2017-02-15,12,1.7915
2017-02-15,13,1.87925
2017-02-15,14,1.91975
2017-02-15,15,1.93746875
2017-02-15,16,1.93240625
2017-02-15,17,1.95265625
