"datetime","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9"
2018-08-18,74.1729166666667,71.4847222222222,68.7965277777778,66.1083333333333,61.7684722222222,57.4286111111111,53.08875
2018-08-19,74.1529166666667,71.7134722222222,69.2740277777778,66.8345833333333,62.2830555555555,57.7315277777778,53.18
2018-08-20,72.7741666666667,70.8048611111111,68.8355555555556,66.86625,62.2775,57.68875,53.1
2018-08-21,72.2254166666667,70.4891666666667,68.7529166666667,67.0166666666667,62.4719444444444,57.9272222222222,53.3825
2018-08-22,71.4329166666667,70.6143055555556,69.7956944444444,68.9770833333333,63.5927777777778,58.2084722222222,52.8241666666667
2018-08-23,70.9041666666667,70.0990277777778,69.2938888888889,68.48875,63.3683333333333,58.2479166666667,53.1275
2018-08-24,70.72625,69.5275,68.32875,67.13,62.5908333333333,58.0516666666667,53.5125
2018-08-25,70.43875,69.7608333333333,69.0829166666667,68.405,63.4651388888889,58.5252777777778,53.5854166666667
2018-08-26,70.6620833333333,69.4575,68.2529166666667,67.0483333333333,62.7819444444444,58.5155555555556,54.2491666666667
2018-08-27,70.2366666666667,69.8145833333333,69.3925,68.9704166666667,63.7351388888889,58.4998611111111,53.2645833333333
2018-08-28,68.9441666666667,68.7054166666667,68.4666666666667,68.2279166666667,63.2984722222222,58.3690277777778,53.4395833333333
2018-08-29,68.0795833333333,68.0138888888889,67.9481944444444,67.8825,63.16,58.4375,53.715
2018-08-30,68.1304166666667,67.8718055555556,67.6131944444444,67.3545833333333,62.9020833333333,58.4495833333333,53.9970833333333
2018-08-31,67.77875,67.5693055555556,67.3598611111111,67.1504166666667,62.9222222222222,58.6940277777778,54.4658333333333
2018-09-01,68.3575,67.9997222222222,67.6419444444444,67.2841666666667,62.7629166666667,58.2416666666667,53.7204166666667
2018-09-02,68.7070833333333,68.1018055555556,67.4965277777778,66.89125,62.6533333333333,58.4154166666667,54.1775
2018-09-03,68.20875,67.7413888888889,67.2740277777778,66.8066666666667,62.8073611111111,58.8080555555556,54.80875
2018-09-04,67.5916666666667,67.31125,67.0308333333333,66.7504166666667,62.5170833333333,58.28375,54.0504166666667
2018-09-05,67.60125,67.5705555555555,67.5398611111111,67.5091666666667,63.2286111111111,58.9480555555556,54.6675
2018-09-06,67.2316666666667,67.1091666666667,66.9866666666667,66.8641666666667,62.8106944444444,58.7572222222222,54.70375
2018-09-07,67.0760869565217,66.7721739130435,66.4682608695652,66.164347826087,62.5028985507246,58.8414492753623,55.18
2018-09-08,66.5375,66.3465277777778,66.1555555555556,65.9645833333333,61.9726388888889,57.9806944444444,53.98875
2018-09-09,66.1966666666667,66.0095833333333,65.8225,65.6354166666667,61.8751388888889,58.1148611111111,54.3545833333333
2018-09-10,65.8429166666667,65.7894444444444,65.7359722222222,65.6825,62.1075,58.5325,54.9575
2018-09-11,65.9329166666667,65.7708333333333,65.60875,65.4466666666667,62.0433333333333,58.64,55.2366666666667
2018-09-12,66.0545833333333,65.9208333333333,65.7870833333333,65.6533333333333,62.5344444444444,59.4155555555556,56.2966666666667
2018-09-13,65.955,65.8295833333333,65.7041666666667,65.57875,62.8061111111111,60.0334722222222,57.2608333333333
2018-09-14,66.29,66.1808333333333,66.0716666666667,65.9625,63.86875,61.775,59.68125
2018-09-15,66.1975,66.1218055555556,66.0461111111111,65.9704166666667,63.4847222222222,60.9990277777778,58.5133333333333
2018-09-16,66.4408333333333,66.3588888888889,66.2769444444444,66.195,63.9054166666667,61.6158333333333,59.32625
2018-09-17,66.6091666666667,66.6130555555556,66.6169444444444,66.6208333333333,64.6004166666667,62.58,60.5595833333333
2018-09-18,65.83375,65.8215277777778,65.8093055555556,65.7970833333333,64.3097222222222,62.8223611111111,61.335
2018-09-19,65.2395833333333,65.2338888888889,65.2281944444444,65.2225,63.5108333333333,61.7991666666667,60.0875
2018-09-20,64.5475,64.5554166666667,64.5633333333333,64.57125,62.9931944444444,61.4151388888889,59.8370833333333
2018-09-21,63.2379166666667,63.2504166666667,63.2629166666667,63.2754166666667,63.1679166666667,63.0604166666667,62.9529166666667
2018-09-22,62.1704166666667,62.1786111111111,62.1868055555556,62.195,62.1466666666667,62.0983333333333,62.05
2018-09-23,60.8370833333333,60.84625,60.8554166666667,60.8645833333333,60.7890277777778,60.7134722222222,60.6379166666667
2018-09-24,59.6104166666667,59.6193055555556,59.6281944444444,59.6370833333333,59.6044444444444,59.5718055555556,59.5391666666667
2018-09-25,59.0245833333333,59.0376388888889,59.0506944444444,59.06375,59.0518055555556,59.0398611111111,59.0279166666667
2018-09-26,58.2395833333333,58.2522222222222,58.2648611111111,58.2775,58.2641666666667,58.2508333333333,58.2375
2018-09-27,57.6308333333333,57.6427777777778,57.6547222222222,57.6666666666667,57.6516666666667,57.6366666666667,57.6216666666667
2018-09-28,56.89375,56.9084722222222,56.9231944444444,56.9379166666667,56.9252777777778,56.9126388888889,56.9
2018-09-29,55.8383333333333,55.8447222222222,55.8511111111111,55.8575,55.8240277777778,55.7905555555556,55.7570833333333
2018-09-30,55.1720833333333,55.1897222222222,55.2073611111111,55.225,55.2108333333333,55.1966666666667,55.1825
2018-10-01,54.6016666666667,54.6113888888889,54.6211111111111,54.6308333333333,54.6119444444444,54.5930555555556,54.5741666666667
2018-10-02,54.1625,54.1773611111111,54.1922222222222,54.2070833333333,54.1934722222222,54.1798611111111,54.16625
2018-10-03,53.7991666666667,53.8129166666667,53.8266666666667,53.8404166666667,53.8269444444445,53.8134722222222,53.8
2018-10-04,53.0066666666667,53.0198611111111,53.0330555555556,53.04625,53.0322222222222,53.0181944444444,53.0041666666667
2018-10-05,52.4745833333333,52.4919444444444,52.5093055555556,52.5266666666667,52.5097222222222,52.4927777777778,52.4758333333333
2018-10-06,51.81875,51.8355555555556,51.8523611111111,51.8691666666667,51.8548611111111,51.8405555555556,51.82625
2018-10-07,51.3454166666667,51.3618055555556,51.3781944444444,51.3945833333333,51.3775,51.3604166666667,51.3433333333333
2018-10-08,51.0616666666667,51.0781944444444,51.0947222222222,51.11125,51.0966666666667,51.0820833333333,51.0675
2018-10-09,50.56875,50.5884722222222,50.6081944444444,50.6279166666667,50.6181944444444,50.6084722222222,50.59875
2018-10-10,49.64,49.6581944444444,49.6763888888889,49.6945833333333,49.6855555555556,49.6765277777778,49.6675
2018-10-11,48.40625,48.4252777777778,48.4443055555556,48.4633333333333,48.4508333333333,48.4383333333333,48.4258333333333
2018-10-12,47.5971428571429,47.6164285714286,47.6357142857143,47.655,47.6411904761905,47.627380952381,47.6135714285714
