"","Date","Depth","Measurement"
"287",2017-01-29,18,1.91215625
"288",2017-01-29,19,1.95265625
"289",2017-01-29,20,1.98021875
"290",2017-01-29,21,1.97403125
"291",2017-01-29,22,1.93409375
"292",2017-01-29,23,1.99178125
"293",2017-01-29,24,2.14709375
"294",2017-01-29,25,2.248125
"295",2017-01-29,26,2.294875
"296",2017-01-29,27,2.410375
"297",2017-01-29,28,2.594625
"298",2017-01-30,2,0.960395833333333
"299",2017-01-30,3,1.126
"300",2017-01-30,4,1.15358333333333
"301",2017-01-30,5,1.19627083333333
"302",2017-01-30,6,1.2501875
"303",2017-01-30,7,1.3204375
"304",2017-01-30,8,1.40354166666667
"305",2017-01-30,9,1.48504166666667
"306",2017-01-30,10,1.5368125
"307",2017-01-30,11,1.5784375
"308",2017-01-30,12,1.6695
"309",2017-01-30,13,1.76421875
"310",2017-01-30,14,1.81090625
"311",2017-01-30,15,1.8336875
"312",2017-01-30,16,1.8325625
"313",2017-01-30,17,1.8584375
"314",2017-01-30,18,1.9113125
"315",2017-01-30,19,1.9518125
"316",2017-01-30,20,1.9799375
"317",2017-01-30,21,1.97403125
"318",2017-01-30,22,1.93409375
"319",2017-01-30,23,1.99594791666667
"320",2017-01-30,24,2.15959375
"321",2017-01-30,25,2.2668125
"322",2017-01-30,26,2.31760416666667
"323",2017-01-30,27,2.428375
"324",2017-01-30,28,2.599125
"325",2017-01-31,2,0.9683125
"326",2017-01-31,3,1.1310625
"327",2017-01-31,4,1.15416666666667
"328",2017-01-31,5,1.19685416666667
"329",2017-01-31,6,1.2501875
"330",2017-01-31,7,1.3249375
"331",2017-01-31,8,1.4069375
"332",2017-01-31,9,1.4884375
"333",2017-01-31,10,1.5390625
"334",2017-01-31,11,1.5835
"335",2017-01-31,12,1.683
"336",2017-01-31,13,1.77575
"337",2017-01-31,14,1.82075
"338",2017-01-31,15,1.8404375
"339",2017-01-31,16,1.8348125
"340",2017-01-31,17,1.859
"341",2017-01-31,18,1.913
"342",2017-01-31,19,1.95828125
"343",2017-01-31,20,1.99484375
